|Voter_Name|Voter_Country|Film_1|Film_2|Film_3|Film_4|Film_5|Film_6|Film_7|Film_8|Film_9|Film_10|Film_11|Film_12|Film_13
139|Peter Wollen|UK/US|L'Age d'or (Buñuel)|The Cabinet of Dr. Caligari (Wiene)|Journeys from Berlin (Rainer)|Modern Times (Chaplin)|Pakeezah (Amrohi)|La Règle du jeu (Renoir)|Singin' in the Rain (Kelly, Donen)|Topsy-Turvy (Leigh)|Vertigo (Hitchcock)|Vivre sa vie (Godard)|||
140|Robin Wood|UK/Canada|Rio Bravo (Hawks)|Les Demoiselles de Rochefort (Demy)|Heaven's Gate (Cimino)|I Walked with a Zombie (Tourneur)|Late Spring (Ozu)|Marnie (Hitchcock)|Rally 'round the Flag, Boys! (McCarey)|The Reckless Moment (Ophuls)|La Règle du jeu (Renoir)|Ugetsu Monogatari (Mizoguchi)|||
141|Michael Wood|US|The Passion of Joan of Arc (Dreyer)|Ugetsu Monogatari (Mizoguchi)|Vertigo (Hitchcock)|Touch of Evil (Welles)|Sunset Blvd. (Wilder)|GoodFellas (Scorsese)|La Jetée (Marker)|Tristana (Buñuel)|8 1/2 (Fellini)|The Cabinet of Dr. Caligari (Wiene)|||
142|Andrew Worsdale|South Africa|À bout de souffle (Godard)|Apocalypse Now (Coppola)|L'Atalante (Vigo)|Black Narcissus (Powell, Pressburger)|Dr. Strangelove (Kubrick)|The Godfather (Coppola)|Once upon a Time in America (Leone)|Singin' in the Rain (Kelly, Donen)|Taxi Driver (Scorsese)|Vertigo (Hitchcock)|||
143|Helena Ylänen|Finland|8 1/2 (Fellini)|The Passenger (Antonioni)|Tristana (Buñuel)|Broken Blossoms (Griffith)|Citizen Kane (Welles)|Bonnie and Clyde (Penn)|Red River (Hawks)|No End (Kieslowski)|Barry Lyndon (Kubrick)|The Life and Death of Colonel Blimp (Powell, Pressburger)|||
144|Slavoj Zizek|Slovenia|Vertigo (Hitchcock)|Psycho (Hitchcock)|Dune (Lynch)|Ivan the Terrible (Eisenstein)|The Fountainhead (Vidor)|3:10 to Yuma (Daves)|Opfergang (Harlan)|The Sound of Music (Wise)|Short Cuts (Altman)|Limelight (Chaplin)|||
145|Roy Andersson|Sweden|Amarcord (Fellini)|Andrei Roublev (Tarkovsky)|Ashes and Diamonds (Wajda)|The Battle of Algiers (Pontecorvo)|Bicycle Thieves (De Sica)|La Grande Illusion (Renoir)|Intolerance (Griffith)|Rashomon (Kurosawa)|Stranger Than Paradise (Jarmusch)|Viridiana (Buñuel)|||
146|Theo Angelopoulos|Greece|Citizen Kane (Welles)|Ivan the Terrible (Eisenstein)|Ordet (Dreyer)|8 1/2 (Fellini)|Nosferatu (Murnau)|L'avventura (Antonioni)|The Gold Rush (Chaplin)|Ugetsu Monogatari (Mizoguchi)|Pickpocket (Bresson)|Persona (Bergman)|||
147|Denys Arcand|Canada|Bicycle Thieves (De Sica)|Citizen Kane (Welles)|The Discreet Charm of the Bourgeoisie (Buñuel)|8 1/2 (Fellini)|Il general Della Rovere (Rossellini)|The Man Who Shot Liberty Valance (Ford)|Partie de campagne (Renoir)|Seven Samurai (Kurosawa)|The Silence (Bergman)|Triumph of the Will (Riefenstahl)|||
148|George Armitage|US|Dr. Strangelove (Kubrick)|Sweet Smell of Success (Mackendrick)|The Magnificent Seven (J. Sturges)|Seven Samurai (Kurosawa)|The Boy with Green Hair (Losey)|The Thing from Another World (Nyby)|A Canterbury Tale (Powell, Pressburger)|The Maltese Falcon (Huston)|Sullivan's Travels (P. Sturges)|Citizen Kane (Welles)|Local Hero (Forsyth)||
149|Gillian Armstrong|Australia|Citizen Kane (Welles)|Raging Bull (Scorsese)|La strada (Fellini)|The Godfather Part II (Coppola)|Rashomon (Kurosawa)|Chinatown (Polanski)|Bicycle Thieves (De Sica)|8 1/2 (Fellini)|Singin' in the Rain (Kelly, Donen)|Vertigo (Hitchcock)|||
150|Olivier Assayas|France|Andrei Roublev (Tarkovsky)|L'Argent (Bresson)|La dolce vita (Fellini)|In Girum imus nocte et consumimur igni (Debord)|Ludwig (Visconti)|A Man Escaped (Bresson)|Mirror (Tarkovsky)|Ordet (Dreyer)|Playtime (Tati)|Scenes from a Marriage (Bergman)|||
151|Alexei Balabanov|Russia|Greed (von Stroheim)|Strike (Eisenstein)|Earth (Dovzhenko)|Brother (Kitano)|Brazil (Gilliam)|Andrei Roublev (Tarkovsky)|Stalker (Tarkovsky)|The Knack... and How to Get It (Lester)|Barton Fink (Coen)|Pulp Fiction (Tarantino)|||
152|Harold Becker|US|L'avventura (Antonioni)|Berlin Alexanderplatz (Fassbinder)|Citizen Kane (Welles)|A Clockwork Orange (Kubrick)|8 1/2 (Fellini)|The Grapes of Wrath (Ford)|In Cold Blood (Brooks)|Lawrence of Arabia (Lean)|Sunset Blvd. (Wilder)|The Treasure of the Sierra Madre (Huston)|||
153|Bruce Beresford|Australia|Chimes at Midnight (Welles)|The Apu Trilogy (S. Ray)|Ludwig (Visconti)|The Passion of Joan of Arc (Dreyer)|My Darling Clementine (Ford)|Fanny and Alexander (Bergman)|La Règle du jeu (Renoir)|Odd Man Out (Reed)|La strada (Fellini)|Black Hawk Down (Scott)|||
154|Andrew Bergman|US|8 1/2 (Fellini)|Jules et Jim (Truffaut)|Citizen Kane (Welles)|City Lights (Chaplin)|The Godfather and The Godfather Part II (Coppola)|The Treasure of the Sierra Madre (Huston)|Brief Encounter (Lean)|Jaws (Spielberg)|Rear Window (Hitchcock)|It Happened One Night (Capra)|Dr. Strangelove (Kubrick)|Some Like It Hot (Wilder)|Double Indemnity (Wilder)
155|Bernardo Bertolucci|Italy|La Règle du jeu (Renoir)|Sansho Dayu (Mizoguchi)|Germany Year Zero (Rossellini)|À bout de souffle (Godard)|Stagecoach (Ford)|Blue Velvet (Lynch)|City Lights (Chaplin)|Marnie (Hitchcock)|Accattone (Pasolini)|Touch of Evil (Welles)|||
156|Stig Björkman|Sweden|Voyage to Italy (Rossellini)|The Night of the Hunter (Laughton)|Vertigo (Hitchcock)|Touch of Evil (Welles)|La notte (Antonioni)|Le Mépris (Godard)|Persona (Bergman)|1900 (Bertolucci)|Fear Eats the Soul (Fassbinder)|A Taste of Cherry... (Kiarostami)|||
157|Les Blair|UK|Amarcord (Fellini)|A Blonde in Love (Forman)|The 400 Blows (Truffaut)|The General (Keaton)|GoodFellas (Scorsese)|Pather Panchali (S. Ray)|Salvatore Giuliano (Rosi)|Saturday Night and Sunday Morning (Reisz)|The Seventh Seal (Bergman)|Some Like It Hot (Wilder)|||
158|Jana Bokova|Argentina|L'Atalante (Vigo)|Rashomon (Kurosawa)|La strada (Fellini)|Mean Streets (Scorsese)|Hôtel du Nord (Carné)|Rocco and His Brothers (Visconti)|Tokyo Story (Ozu)|Faces (Cassavetes)|L'avventura (Antonioni)|Bicycle Thieves (De Sica)|||
159|John Boorman|UK|Seven Samurai (Kurosawa)|The Seventh Seal (Bergman)|8 1/2 (Fellini)|That Obscure Object of Desire (Buñuel)|Dr. Strangelove (Kubrick)|Citizen Kane (Welles)|Sunset Blvd. (Wilder)|Solaris (Tarkovsky)|La Roue (Gance)|The Birth of a Nation (Griffith)|||
160|Catherine Breillat|France|Ai no corrida (Oshima)|Sawdust and Tinsel (Bergman)|Baby Doll (Kazan)|Lost Highway (Lynch)|Vertigo (Hitchcock)|Salò (Pasolini)|L'avventura (Antonioni)|Ordet (Dreyer)|Lancelot du Lac (Bresson)|Ten (Kiarostami)|||
161|Nick Broomfield|UK|Citizen Kane (Welles)|Dr. Strangelove (Kubrick)|Monsoon Wedding (Nair)|My Life as a Dog (Hallström)|The Pink Panther Strikes Again (Edwards)|Il postino (Radford)|Sunset Blvd. (Wilder)|Sweet Smell of Success (Mackendrick)|Titicut Follies (Wiseman)|Urga (Mikhalkov)|||
162|Danny Cannon|UK|Apocalypse Now (Coppola)|Network (Lumet)|Close Encounters of the Third Kind (Spielberg)|The Exorcist (Friedkin)|The Parallax View (Pakula)|Jacob's Ladder (Lyne)|Ferris Bueller's Day Off (Hughes)|The Apartment (Wilder)|The Godfather Part II (Coppola)|Taxi Driver (Scorsese)|||
163|Gurinder Chadha|UK|Tokyo Story (Ozu)|Bicycle Thieves (De Sica)|Kes (Loach)|West Side Story (Wise)|Baiju Bawra (Bhatt)|Raining Stones (Loach)|William Shakespeare's Romeo + Juliet (Luhrmann)|Purab Aur Pachim (Kumar)|Up the Junction (Loach)|Car Wash (Schultz)|||
164|Yiwen Chen|Taiwan|Ashes of Time (Wong)|A Brighter Summer Day (Yang)|Citizen Kane (Welles)|Crimes and Misdemeanors (Allen)|The Godfather (Coppola)|Red Sorghum (Zhang)|Requiem for a Dream (Aronofsky)|Thirty-two Short Films about Glenn Gould (Girard)|Throne of Blood (Kurosawa)|The Time to Live and the Time to Die (Hou)|||
165|Vidhu Vinod Chopra|India|À bout de souffle (Godard)|Citizen Kane (Welles)|8 1/2 (Fellini)|The Godfather (Coppola)|Kaagaz ke phool (Dutt)|Meghe dhaka tara (Ghatak)|Mother India (Mehboob)|Mughal-e-Azam (Asif)|Pather Panchali (S. Ray)|Rashomon (Kurosawa)|||
166|Roger Corman|US|Battleship Potemkin (Eisenstein)|Citizen Kane (Welles)|The Seventh Seal (Bergman)|Lawrence of Arabia (Lean)|The Godfather (Coppola)|The Grapes of Wrath (Ford)|Shane (Stevens)|On the Waterfront (Kazan)|Star Wars (Lucas)|The Cabinet of Dr. Caligari (Wiene)|||
167|Alex Cox|UK|Citizen Kane (Welles)|The Devils (K. Russell)|The Exterminating Angel (Buñuel)|King Kong (Cooper, Schoedsack)|The Mattei Affair (Rosi)|O Lucky Man! (Anderson)|2001: A Space Odyssey (Kubrick)|Throne of Blood (Kurosawa)|The Wages of Fear (Clouzot)|The War Game (Watkins)|||
168|Cameron Crowe|US|The Apartment (Wilder)|La Règle du jeu (Renoir)|La dolce vita (Fellini)|Manhattan (Allen)|The Best Years of Our Lives (Wyler)|To Kill a Mockingbird (Mulligan)|Harold and Maude (Ashby)|Pulp Fiction (Tarantino)|Quadrophenia (Roddam)|Ninotchka (Lubitsch)|||
