ID|Title|Director
322|The Heiress|Wyler
323|Hellzapoppin'|Potter
324|Hi Diddle Diddle|Stone
325|The Hidden Fortress|Kurosawa
326|High and Low|Kurosawa
327|High Noon|Zinnemann
328|The Highway|Sun Yu
329|The Hill|Lumet
330|Hiroshima mon amour|Resnais
331|His Girl Friday|Hawks
332|Hitler: A Film from Germany|Syberberg
333|Holiday|Cukor
334|Hope and Glory|Boorman
335|A hora da estrela|Amaral
336|L'Horloger de Saint-Paul|Tavernier
337|Hôtel du Nord|Carné
338|Hotel Terminus: Klaus Barbie, His Life and Times|Ophüls
339|Hour of the Furnaces|Solanas
340|Hour of the Wolf|Bergman
341|The House Is Black|Farokhzad
342|How Green Was My Valley|Ford
343|Hue and Cry|Crichton
344|Human Desire|Lang
345|I Am Curious, Yellow|Sjöman
346|I vitelloni|Fellini
347|I Walked with a Zombie|Tourneur
348|I Was Born, But...|Ozu
349|I, the Executioner|Kato Tai
350|A idade maior|Villaverde
351|If...|Anderson
352|Ikiru|Kurosawa
353|Il bidone|Fellini
354|Il deserto rosso|Antonioni
355|Il general Della Rovere|Rossellini
356|Il postino|Radford
357|Imitation of Life|Sirk
358|In a Year with Thirteen Moons|Fassbinder
359|In Cold Blood|Brooks
360|In Girum imus nocte et consumimur igni|Debord
361|In the Company of Men|LaBute
362|In the Mood for Love|Wong
363|India Song|Duras
364|Inferno|Argento
365|Ingeborg Holm|Sjöström
366|The Insect Woman|Imamura
367|Intolerance|Griffith
368|It Happened One Night|Capra
369|It's a Wonderful Life|Capra
370|Ivan the Terrible|Eisenstein
371|Ivan the Terrible, Part II|Eisenstein
372|Ivan's Childhood|Tarkovsky
373|J'accuse|Gance
374|Jacob's Ladder|Lyne
375|Jane Campion shorts [Peel/Passionless Moments/A Girl's Own Story]|Campion
376|Jane Eyre|Stevenson
377|Jaws|Spielberg
378|Je, tu, il, elle|Akerman
379|Jeanne Dielman...|Akerman
380|Jerry Maguire|Crowe
381|La Jetée|Marker
382|Jeux interdits|Clément
383|Jimmy Hollywood|Levinson
384|JLG/JLG|Godard
385|Johnny Guitar|N. Ray
386|Jour de fête|Tati
387|Le Jour se lève|Carné
388|Journey to the Lost City|Lang
389|Journeys from Berlin|Rainer
390|Ju Dou|Zhang
391|Jules et Jim|Truffaut
392|Juliet of the Spirits|Fellini
393|Jungle Fever|Lee
394|Kaagaz ke phool|Dutt
395|Kadosh|Gitai
396|Kawachiyama shunso|Yamanaka
397|Kes|Loach
398|Khalnayak|Ghai
399|The Kid|Chaplin
400|The Killing of a Chinese Bookie|Cassavetes
401|Kind Hearts and Coronets|Hamer
402|King Kong|Cooper, Schoedsack
403|King Lear|Brook
404|The King of Comedy|Scorsese
405|King Size Canary|Avery
406|King Solomon's Mines|Bennett
407|Kings of the Road|Wenders
408|The Knack... and How to Get It|Lester
409|Komal Gandhar|Ghatak
410|Lacombe Lucien|Malle
411|The Lady Eve|P. Sturges
412|The Lady from Shanghai|Welles
413|The Lady Vanishes|Hitchcock
414|Lamerica|Amelio
415|Lancelot du Lac|Bresson
416|The Land beyond the Sunset|Shaw
417|Land of Silence and Darkness|Herzog
418|The Last Laugh|Murnau
419|The Last Picture Show|Bogdanovich
420|Last Year at Marienbad|Resnais
421|Late Spring|Ozu
422|Laura|Preminger
423|Lawrence of Arabia|Lean
424|Lawrence of Arabia [the recent, expanded version]|Lean
425|The Leopard|Visconti
426|Let's Scare Jessica to Death|Hancock
427|Letter from an Unknown Woman|Ophuls
428|La ley de Herodes|Estrada
429|Liebelei|Ophuls
430|The Life and Death of Colonel Blimp|Powell, Pressburger
431|A Life for a Life|Bauer
432|The Life of Oharu|Mizoguchi
433|Light Sleeper|Schrader
434|Limelight|Chaplin
435|Listen to Britain|Jennings
436|Local Hero|Forsyth
437|The Lodger|Hitchcock
438|Lola|Demy
439|Lolita|Kubrick
440|Lolita|Lyne
441|Lone Star|Sayles
442|The Long Day's Dying|Collinson
443|Long Farewells|Muratova
444|Los Olvidados|Buñuel
445|Los Traidores|Gleyzer
446|Lost Highway|Lynch
447|Love Affair|McCarey
448|Love and Death|Allen
449|Love Me Tonight|Mamoulian
450|Love Streams|Cassavetes
451|Loving Couples|Zetterling
452|The Lower Depths|Kurosawa
453|Lucía|Solas
454|Ludwig|Visconti
455|M|Lang
456|Ma nuit chez Maud|Rohmer
457|Maciste all'inferno|Freda
458|Madame de...|Ophuls
459|The Magnificent Ambersons|Welles
460|The Magnificent Seven|J. Sturges
461|Make Way for Tomorrow|McCarey
462|Malcolm X|Lee
463|The Maltese Falcon|Huston
464|La Maman et la putain|Eustache
465|Man Bites Dog|Belvaux, Poelvoorde
